Prix,Année,Auteur,Roman,Maison d'édition
Académie,1961,Pham Van Ky,Perdre la demeure,Gallimard
Académie,1962,Michel Mohrt,La Prison maritime,Gallimard
Académie,1963,Robert Margerit,La Révolution,Gallimard
Académie,1964,Michel Droit,Le Retour,Julliard
Académie,1965,Jean Husson,Le Cheval d'Herbeleau,Le Seuil
Académie,1966,François Nourissier,Une histoire française,Grasset
Académie,1967,Michel Tournier,Vendredi ou les Limbes du Pacifique,Gallimard
Académie,1968,Albert Cohen,Belle du Seigneur,Gallimard
Académie,1969,Pierre Moustiers,La Paroi,Gallimard
Académie,1970,Bertrand Poirot-Delpech,La Folle de Lituanie,Gallimard
Académie,1971,Jean d'Ormesson,La Gloire de l'Empire,Gallimard
Académie,1972,Patrick Modiano,Les Boulevards de ceinture,Gallimard
Académie,1973,Michel Déon,Un taxi mauve,Gallimard
Académie,1974,Kléber Haedens,Adios,Grasset
Académie,1975,Prix non décerné,Prix non décerné,Prix non décerné
Académie,1976,Pierre Schoendoerffer,Le Crabe-tambour,Grasset
Académie,1977,Camille Bourniquel,Tempo,Julliard
Académie,1978,Pascal Jardin,Le Nain jaune,Julliard
Académie,1979,Henri Coulonges,l'Adieu à la femme sauvage,Stock
Académie,1980,Louis Gardel,Fort Saganne,Le Seuil
Académie,1981,Jean Raspail,"Moi, Antoine de Tounens, roi de Patagonie",Albin Michel
Académie,1982,Vladimir Volkoff,Le Montage,Julliard
Académie,1983,Liliane Guignabodet,Natalia,Albin Michel
Académie,1984,Jacques-Francis Rolland,Un dimanche inoubliable près des casernes,Grasset
Académie,1985,Patrick Besson,Dara,Le Seuil
Académie,1986,Pierre-Jean Rémy,Une ville immortelle,Albin Michel
Académie,1987,Frédérique Hébrard,Le Harem,Flammarion
Académie,1988,François-Olivier Rousseau,La Gare de Wannsee,Grasset
Académie,1989,Geneviève Dormann,Le Bal du dodo,Albin Michel
Académie,1990,Paule Constant,White Spirit,Gallimard
Académie,1991,François Sureau,L'Infortune,Gallimard
Académie,1992,Franz-Olivier Giesbert,L'Affreux,Grasset
Académie,1993,Philippe Beaussant,Héloïse,Gallimard
Académie,1994,Frédéric Vitoux,La Comédie de Terracina,Le Seuil
Académie,1995,Alphonse Boudard,Mourir d'enfance,Robert Laffont
Académie,1996,Calixthe Beyala,Les Honneurs perdus,Albin Michel
Académie,1997,Patrick Rambaud,La Bataille,Grasset
Académie,1998,Anne Wiazemsky,Une poignée de gens,Gallimard
Académie,1999,(ex-æquo) François Taillandier,Anielka,Stock
Académie,1999,(ex-æquo) Amélie Nothomb,Stupeur et Tremblements,Albin Michel
Académie,2000,Pascal Quignard,Terrasse à Rome,Gallimard
Académie,2001,Éric Neuhoff,Un bien fou,Albin Michel
Académie,2002,Marie Ferranti,La Princesse de Mantoue,Gallimard
Académie,2003,Jean-Noël Pancrazi,Tout est passé si vite,Gallimard
Académie,2004,Bernard du Boucheron,Court Serpent,Gallimard
Académie,2005,Henriette Jelinek,Le Destin de Iouri Voronine,Fallois
Académie,2006,Jonathan Littell,Les Bienveillantes,Gallimard
Académie,2007,Vassilis Alexakis,Ap. J.-C.,Stock
Académie,2008,Marc Bressant,La Dernière Conférence,Fallois
Académie,2009,Pierre Michon,Les Onze,Verdier
Académie,2010,Éric Faye,Nagasaki,Stock
Académie,2011,Sorj Chalandon,Retour à Killybegs,Grasset
Académie,2012,Joël Dicker,La Vérité sur l'affaire Harry Quebert,Fallois
Académie,2013,Christophe Ono-dit-Biot,Plonger,Gallimard
Goncourt lycéens,1988,Erik Orsenna ,L'Exposition coloniale,Le Seuil
Goncourt lycéens,1989,Jean Vautrin ,Un grand pas vers le Bon Dieu,Grasset
Goncourt lycéens,1990,Françoise Lefèvre ,Le petit prince cannibale,Actes Sud
Goncourt lycéens,1991,Pierre Combescot ,Les Filles du calvaire,Grasset
Goncourt lycéens,1992,Eduardo Manet ,L'Ile du lézard vert,Flammarion
Goncourt lycéens,1993,Anne Wiazemsky ,Canines,Gallimard
Goncourt lycéens,1994,Claude Pujade-Renaud ,Belle mère,Actes Sud
Goncourt lycéens,1995,Andreï Makine ,Le Testament français,Mercure de France
Goncourt lycéens,1996,Nancy Huston,Instruments des Ténèbres,Actes Sud
Goncourt lycéens,1997,Jean-Pierre Milovanoff,Le Maître des paons,Julliard
Goncourt lycéens,1998,Luc Lang,Mille six cents ventres,Fayard
Goncourt lycéens,1999,Jean-Marie Laclavetine,Première ligne,Gallimard
Goncourt lycéens,2000,Ahmadou Kourouma,Allah n'est pas obligé,Le Seuil
Goncourt lycéens,2001,Shan Sa,La joueuse de go,Grasset
Goncourt lycéens,2002,Laurent Gaudé,La mort du roi Tsongor,Actes Sud
Goncourt lycéens,2003,Yann Apperry,Farrago,Grasset
Goncourt lycéens,2004,Philippe Grimbert,Un Secret,Grasset
Goncourt lycéens,2005,Sylvie Germain,Magnus,Albin Michel
Goncourt lycéens,2006,Léonora Miano,Contours du jour qui vient,Plon
Goncourt lycéens,2007,Philippe Claudel,Le rapport de Brodeck,Stock
Goncourt lycéens,2008,Catherine Cusset,Un brillant avenir,Gallimard
Goncourt lycéens,2009,Jean-Michel Guenassia,Le Club des Incorrigibles Optimistes,Albin Michel
Goncourt lycéens,2010,Mathias Enard,"Parle-leur de batailles, de rois et d’éléphants",Actes Sud
Goncourt lycéens,2011,Carole Martinez,Du domaine de Murmures,Gallimard
Goncourt lycéens,2012,Joël Dicker,La vérité sur l’affaire Harry Québert,Fallois
Goncourt lycéens,2013,Sorj Chalandon,Le quatrième mur,Grasset
Interallié,1930,André Malraux,La Voie royale,Grasset
Interallié,1931,Pierre Bost,Le Scandale,Gallimard
Interallié,1932,Simone Ratel,La Maison des bories,Plon
Interallié,1933,Robert Bourget-Pailleron,L'Homme du Brésil,Gallimard
Interallié,1934,Marc Bernard,Anny,Gallimard
Interallié,1935,Jacques Debû-Bridel,Jeunes Ménages,Gallimard
Interallié,1936,René Laporte,Les Chasses de novembre,Denoël
Interallié,1937,Romain Roussel,La Vallée sans printemps,Plon
Interallié,1938,Paul Nizan,La Conspiration,Gallimard
Interallié,1939,Roger de Lafforest,Les Figurants de la mort,Grasset
Interallié,1945,Roger Vailland,Drôle de jeu,Corrêa
Interallié,1946,Jacques Nels,Poussière du temps,Le Bateau ivre
Interallié,1947,Pierre Daninos,Les Carnets du Bon Dieu,La Jeune Parque
Interallié,1948,Henry Castillou,Cortiz s'est révolté,Fayard
Interallié,1949,Gilbert Sigaux,Les Chiens enragés,Julliard
Interallié,1950,Georges Auclair,Un amour allemand,Gallimard
Interallié,1951,Jacques Perret,Bande à part,Gallimard
Interallié,1952,Jean Dutourd,Au bon beurre,Gallimard
Interallié,1953,Louis Chauvet,L'Air sur la quatrième corde,Flammarion
Interallié,1954,Maurice Boissais,Le Goût du péché,Julliard
Interallié,1955,Félicien Marceau,Les Élans du cœur,Gallimard
Interallié,1956,Armand Lanoux,Le Commandant Watrin,Denoël
Interallié,1957,Paul Guimard,Rue du Havre,Denoël
Interallié,1958,Bertrand Poirot-Delpech,Le Grand Dadais,La Table Ronde
Interallié,1959,Antoine Blondin,Un singe en hiver,Denoël
Interallié,1960,Jean Portelle,Janitzia ou la Dernière qui aima d'amour,La Table Ronde
Interallié,1960,Henry Muller,Clem,Gallimard
Interallié,1961,Jean Ferniot,L'Ombre portée,Robert Laffont
Interallié,1962,Henri-François Rey,Les Pianos mécaniques,Gallimard
Interallié,1963,Renée Massip,La Bête quaternaire,Denoël
Interallié,1964,René Fallet,Paris au mois d'août,Grasset
Interallié,1965,Alain Bosquet,La Confession mexicaine,Grasset
Interallié,1966,Kléber Haedens,L'été finit sous les tilleuls,Grasset
Interallié,1967,Yvonne Baby,Oui l'espoir,Grasset
Interallié,1968,Christine de Rivoyre,Le Petit Matin,Grasset
Interallié,1969,Pierre Schoendoerffer,L'Adieu au roi,Grasset
Interallié,1970,Michel Déon,Les Poneys sauvages,Gallimard
Interallié,1971,Pierre Rouanet,Castell,Grasset
Interallié,1972,Georges Walter,Des vols de Vanessa,Grasset
Interallié,1973,Lucien Bodard,Monsieur le Consul,Grasset
Interallié,1974,René Mauriès,Le Cap de la Gitane,Fayard
Interallié,1975,Voldemar Lestienne,L'Amant de poche,Grasset
Interallié,1976,Raphaëlle Billetdoux,Prends garde à la douceur des choses,Le Seuil
Interallié,1977,Jean-Marie Rouart,Les Feux du pouvoir,Grasset
Interallié,1978,Jean-Didier Wolfromm,Diane Lanster,Grasset
Interallié,1979,François Cavanna,Les Russkoffs,Belfond
Interallié,1980,Christine Arnothy,Toutes les chances plus une,Grasset
Interallié,1981,Louis Nucera,Le Chemin de la Lanterne,Grasset
Interallié,1982,Éric Ollivier,L'Orphelin de mer... ou les Mémoires de monsieur Non,Denoël
Interallié,1983,Jacques Duquesne,Maria Vandamme,Grasset
Interallié,1984,Michèle Perrein,Les Cotonniers de Bassalane,Grasset
Interallié,1985,Serge Lentz,Vladimir Roubaïev,Robert Laffont
Interallié,1986,Philippe Labro,L'Étudiant étranger,Gallimard
Interallié,1987,Raoul Mille,Les Amants du paradis,Grasset
Interallié,1988,Bernard-Henri Lévy,Les Derniers Jours de Charles Baudelaire,Grasset
Interallié,1989,Alain Gerber,Le Verger du diable,Grasset
Interallié,1990,Bruno Bayon,Les Animals,Grasset
Interallié,1991,Sébastien Japrisot,Un long dimanche de fiançailles,Denoël
Interallié,1992,Dominique Bona,Malika,Mercure de France
Interallié,1993,Jean-Pierre Dufreigne,Le Dernier Amour d'Aramis ou les Vrais Mémoires du chevalier René d'Herblay,Grasset
Interallié,1994,Marc Trillard,Eldorado 51,Phébus
Interallié,1995,Franz-Olivier Giesbert,La Souille,Grasset
Interallié,1996,Eduardo Manet,Rhapsodie cubaine,Grasset
Interallié,1997,Éric Neuhoff,La Petite Française,Albin Michel
Interallié,1998,Gilles Martin-Chauffier,Les Corrompus,Grasset
Interallié,1999,Jean-Christophe Rufin,Les Causes perdues,Gallimard
Interallié,2000,Patrick Poivre d'Arvor,L'irrésolu,Albin Michel
Interallié,2001,Stéphane Denis,Sisters,Fayard
Interallié,2002,Gonzague Saint-Bris,Les vieillards de Brighton,Grasset
Interallié,2003,Frédéric Beigbeder,Windows on the World,Grasset
Interallié,2004,Florian Zeller,La fascination du pire,Flammarion
Interallié,2005,Michel Houellebecq,La possibilité d'une île,Fayard
Interallié,2006,Michel Schneider,"Marilyn, dernières séances",Grasset
Interallié,2007,Christophe Ono-Dit-Biot,Birmane,Plon
Interallié,2008,Serge Bramly,"Le Premier Principe, le second principe",JC Lattès
Interallié,2009,Yannick Haenel,Jan Karski,Gallimard
Interallié,2010,Jean-Michel Olivier,L'Amour nègre,Fallois
Interallié,2011,Morgan Sportes,"Tout, tout de suite",Fayard
Interallié,2012,Philippe Djian,« Oh... »,Gallimard
Interallié,2013,Nelly Alard,Moment d'un couple,Gallimard
Médicis,1958,Claude Ollier,La Mise en scène,Minuit
Médicis,1959,Claude Mauriac,Le Dîner en ville,Albin Michel
Médicis,1960,Henri Thomas,John Perkins,Gallimard
Médicis,1961,Philippe Sollers,Le Parc,Le Seuil
Médicis,1962,Colette Audry,Derrière la baignoire,Gallimard
Médicis,1963,Gérard Jarlot,Un chat qui aboie,Gallimard
