code_reg	code_dept	code_zoneempl	code_comm	code_post	0	1	commune	pop11	naissances2011	deces2011
11	77	1104	77345	77750	3.22658	48.90114	Orly-sur-Morin	672	10	5
11	77	1108	77347	77134	3.22503	48.45958	Les Ormes-sur-Voulzie	837	12	30
11	77	1107	77348	77167	2.6516	48.24363	Ormesson	284	0	2
11	77	56	77349	77280	2.65423	49.08273	Othis	6458	78	19
11	77	1117	77350	77330	2.67963	48.76356	Ozoir-la-Ferrière	20123	227	83
11	77	1105	77352	77390	2.77681	48.66472	Ozouer-le-Voulgis	1815	15	10
11	77	1107	77353	77710	2.85393	48.24099	Paley	443	4	4
11	77	1105	77354	77830	2.86416	48.46861	Pamfou	936	18	5
11	77	1108	77355	77520	3.20165	48.48129	Paroy	180	1	2
11	77	1108	77356	77480	3.34585	48.42868	Passy-sur-Seine	47	1	1
11	77	1105	77357	77970	3.07508	48.64671	Pécy	819	10	5
11	77	1104	77358	77124	2.85774	48.99079	Penchard	1055	10	3
11	77	1105	77359	77930	2.55038	48.47973	Perthes	2127	25	12
11	77	1103	77360	77131	2.99014	48.74411	Pézarches	395	5	3
11	77	1104	77361	77580	3.03672	48.89739	Pierre-Levée	473	6	2
11	77	56	77363	77181	2.62839	48.91443	Le Pin	1269	16	6
11	77	56	77364	77165	2.76764	49.00378	Le Plessis-aux-Bois	236	6	1
11	77	1103	77365	77540	3.03899	48.71308	Le Plessis-Feu-Aussoux	545	6	2
11	77	56	77366	77165	2.79559	49.00722	Le Plessis-l'Évêque	257	2	1
11	77	1104	77367	77440	2.98534	49.05335	Le Plessis-Placy	272	3	2
11	77	1108	77368	77160	3.27717	48.54493	Poigny	496	10	3
11	77	1104	77369	77470	2.92373	48.97342	Poincy	701	3	4
11	77	1107	77370	77167	2.75634	48.23368	Poligny	823	5	3
11	77	1103	77371	77515	3.00613	48.81787	Pommeuse	2844	34	8
11	77	1101	77372	77400	2.67488	48.88672	Pomponne	3547	48	12
11	77	1117	77373	77340	2.61407	48.78714	Pontault-Combault	36458	630	187
11	77	1117	77374	77135	2.70744	48.79629	Pontcarré	2014	29	5
11	77	56	77376	77410	2.76826	48.93228	Précy-sur-Marne	788	15	0
11	77	1117	77377	77220	2.73725	48.71323	Presles-en-Brie	2281	25	14
11	77	1105	77378	77310	2.55003	48.51766	Pringy	2459	34	13
11	77	1108	77379	77160	3.28757	48.56331	Provins	12206	190	161
11	77	1104	77380	77139	2.91537	49.06541	Puisieux	315	5	0
11	77	1105	77381	77720	2.9616	48.61423	Quiers	690	11	3
11	77	1104	77382	77860	2.87747	48.89939	Quincy-Voisins	5092	57	28
11	77	1105	77383	77370	3.07288	48.54104	Rampillon	799	10	1
11	77	1105	77384	77550	2.62399	48.60739	Réau	1321	12	22
11	77	1103	77385	77510	3.23287	48.85797	Rebais	2146	26	32
11	77	1105	77386	77760	2.64269	48.33979	Recloses	699	12	7
11	77	1107	77387	77710	2.82537	48.2206	Remauville	475	5	1
11	77	1104	77388	77260	3.16344	48.95657	Reuil-en-Brie	837	7	8
11	77	1105	77389	77000	2.65956	48.50685	La Rochette	3151	36	26
11	77	1117	77390	77680	2.66122	48.79009	Roissy-en-Brie	22436	361	111
11	77	1108	77391	77160	3.28882	48.59147	Rouilly	486	3	5
11	77	56	77392	77230	2.71839	49.06379	Rouvres	623	5	2
11	77	1105	77393	77540	2.96386	48.68355	Rozay-en-Brie	2770	28	35
11	77	1105	77394	77950	2.68024	48.56464	Rubelles	1903	22	9
11	77	1105	77395	77760	2.49512	48.27036	Rumont	124	2	0
11	77	1108	77396	77560	3.32681	48.6426	Rupéreux	102	1	1
11	77	1104	77397	77730	3.21709	48.95104	Saâcy-sur-Marne	1760	28	17
11	77	1103	77398	77510	3.29343	48.87585	Sablonnières	699	6	2
11	77	1105	77399	77710	2.90471	48.27237	Saint-Ange-le-Viel	229	6	2
11	77	1103	77400	77515	3.02888	48.78914	Saint-Augustin	1724	13	6
11	77	1104	77401	77260	3.1746	49.00307	Sainte-Aulde	660	5	2
11	77	1103	77402	77320	3.3645	48.81989	Saint-Barthélemy	397	5	1
11	77	1108	77403	77160	3.33441	48.57234	Saint-Brice	665	4	3
11	77	1108	77404	77650	3.25919	48.53436	Sainte-Colombe	1786	20	10
11	77	1104	77405	77750	3.17473	48.91193	Saint-Cyr-sur-Morin	1903	20	4
11	77	1103	77406	77510	3.19932	48.84509	Saint-Denis-lès-Rebais	946	9	5
11	77	1105	77407	77310	2.525	48.53909	Saint-Fargeau-Ponthierry	12909	155	64
11	77	1104	77408	77470	2.95384	48.92472	Saint-Fiacre	395	1	4
11	77	1106	77409	77130	2.99482	48.40897	Saint-Germain-Laval	2798	24	9
11	77	1105	77410	77950	2.70637	48.58628	Saint-Germain-Laxis	506	7	2
11	77	1103	77411	77169	3.13894	48.8511	Saint-Germain-sous-Doue	483	6	2
11	77	1105	77412	77930	2.51078	48.47431	Saint-Germain-sur-École	353	1	1
11	77	1102	77413	77860	2.84029	48.87526	Saint-Germain-sur-Morin	3553	45	16
11	77	1108	77414	77160	3.25824	48.62891	Saint-Hilliers	454	2	2
11	77	1104	77415	77660	3.02696	48.93878	Saint-Jean-les-Deux-Jumeaux	1098	18	2
11	77	1105	77416	77370	3.12128	48.61103	Saint-Just-en-Brie	237	2	1
11	77	1103	77417	77510	3.27123	48.84359	Saint-Léger	205	3	3
11	77	1108	77418	77650	3.2179	48.53698	Saint-Loup-de-Naud	887	14	6
11	77	1105	77419	77670	2.819	48.38679	Saint-Mammès	3180	39	18
11	77	56	77420	77230	2.69703	49.03875	Saint-Mard	3816	46	18
11	77	1103	77421	77320	3.31975	48.73821	Saint-Mars-Vieux-Maisons	270	1	3
11	77	1103	77423	77320	3.33427	48.78834	Saint-Martin-des-Champs	723	9	1
11	77	1103	77424	77320	3.4288	48.73236	Saint-Martin-du-Boschet	298	3	3
11	77	1105	77425	77630	2.57483	48.43424	Saint-Martin-en-Bière	797	0	5
11	77	1105	77426	77720	2.83792	48.57031	Saint-Méry	380	6	3
11	77	56	77427	77410	2.71476	48.98561	Saint-Mesmes	574	10	1
11	77	1105	77428	77720	2.91985	48.56561	Saint-Ouen-en-Brie	860	5	2
11	77	1104	77429	77750	3.20191	48.90683	Saint-Ouen-sur-Morin	557	7	2
11	77	56	77430	77178	2.78794	49.07376	Saint-Pathus	5901	79	20
11	77	1107	77431	77140	2.66647	48.26469	Saint-Pierre-lès-Nemours	5575	57	87
11	77	1103	77432	77320	3.24204	48.81255	Saint-Rémy-la-Vanne	991	7	5
11	77	1103	77433	77120	3.05923	48.76437	Saints	1293	16	9
11	77	1105	77434	77480	3.20463	48.43799	Saint-Sauveur-lès-Bray	339	1	3
11	77	1105	77435	77930	2.53412	48.49971	Saint-Sauveur-sur-École	1095	5	6
11	77	1103	77436	77169	3.19433	48.8046	Saint-Siméon	874	8	3
11	77	56	77437	77165	2.80251	49.03679	Saint-Soupplets	3231	46	25
11	77	1102	77438	77400	2.67577	48.8637	Saint-Thibault-des-Vignes	6259	80	31
11	77	1106	77439	77148	3.01942	48.43166	Salins	1026	6	19
11	77	1104	77440	77260	3.07702	48.94157	Sammeron	1051	10	2
11	77	1105	77441	77920	2.75291	48.45505	Samois-sur-Seine	2100	19	16
11	77	1105	77442	77210	2.76979	48.42001	Samoreau	2328	15	13
11	77	1104	77443	77580	2.96109	48.87917	Sancy	382	2	1
11	77	1108	77444	77320	3.39288	48.7096	Sancy-lès-Provins	340	4	0
11	77	1105	77445	77176	2.57374	48.58848	Savigny-le-Temple	29074	603	107
11	77	1108	77446	77650	3.20518	48.51159	Savins	621	9	7
11	77	1105	77447	77240	2.5544	48.55147	Seine-Port	1960	18	16
11	77	1104	77448	77260	3.10627	48.94016	Sept-Sorts	425	5	0
11	77	1102	77449	77700	2.78755	48.84479	Serris	7866	156	25
11	77	1117	77450	77170	2.59164	48.71505	Servon	3104	33	13
11	77	1104	77451	77640	3.06397	48.91738	Signy-Signets	607	10	6
11	77	1108	77452	77520	3.16364	48.47306	Sigy	47	0	0
11	77	1105	77453	77115	2.75615	48.53089	Sivry-Courtry	1027	10	3
11	77	1105	77454	77520	3.1522	48.51881	Sognolles-en-Montois	420	5	1
11	77	1117	77455	77111	2.70807	48.64528	Soignolles-en-Brie	2077	22	14
11	77	1108	77456	77650	3.29988	48.50849	Soisy-Bouy	802	7	10
11	77	1117	77457	77111	2.7267	48.65939	Solers	1246	20	3
11	77	1107	77458	77460	2.74753	48.18687	Souppes-sur-Loing	5494	79	54
11	77	1108	77459	77171	3.36288	48.53694	Sourdun	1457	9	9
11	77	1104	77460	77440	3.07986	49.0039	Tancrou	385	7	7
11	77	1108	77461	77520	3.17799	48.49169	Thénisy	275	0	3
11	77	56	77462	77230	2.6631	49.00915	Thieux	801	14	7
11	77	1105	77463	77810	2.77997	48.40421	Thomery	3429	35	24
11	77	1101	77464	77400	2.71237	48.8919	Thorigny-sur-Marne	9125	121	46
11	77	1106	77465	77940	2.93972	48.29746	Thoury-Férottes	680	10	5
11	77	1102	77466	77163	2.89871	48.82515	Tigeaux	375	3	3
11	77	1106	77467	77130	3.09357	48.38675	La Tombe	208	5	2
11	77	1102	77468	77200	2.65123	48.85326	Torcy	22866	427	82
11	77	1103	77469	77131	3.02879	48.73306	Touquin	1093	12	3
11	77	1117	77470	77220	2.77821	48.73987	Tournan-en-Brie	8174	130	58
11	77	1105	77471	77123	2.45793	48.34335	Tousson	362	3	2
11	77	1103	77472	77510	3.24649	48.8789	La Trétoire	441	3	2
11	77	1107	77473	77710	2.79482	48.27301	Treuzy-Levelay	457	6	3
11	77	56	77474	77450	2.80418	48.94877	Trilbardou	652	18	3
11	77	1104	77475	77470	2.96624	48.95872	Trilport	4866	52	30
11	77	1104	77476	77440	2.96206	49.04242	Trocy-en-Multien	265	4	1
11	77	1105	77477	77760	2.60036	48.34088	Ury	790	12	4
11	77	1104	77478	77260	3.08198	48.96658	Ussy-sur-Marne	997	20	3
11	77	1101	77479	77360	2.63566	48.86978	Vaires-sur-Marne	12812	179	66
11	77	1105	77480	77830	2.89307	48.44623	Valence-en-Brie	904	13	6
11	77	1105	77481	77370	3.11551	48.55473	Vanvillé	167	1	0
11	77	1106	77482	77130	2.93052	48.36854	Varennes-sur-Seine	3377	41	31
11	77	1104	77483	77910	2.92808	49.00582	Varreddes	1856	16	17
11	77	1104	77484	77580	2.95694	48.89884	Vaucourtois	213	1	2
11	77	1105	77485	77123	2.52188	48.34713	Le Vaudoué	754	3	5
