INSEE,Commune,DEP,REG,82_14_a,82_14_b,82_14_c,82_14_d,82_14_e,82_14_f,82_14_g
01430,Varambon,01,82,2,0,0,0,0,0,0
01431,Vaux-en-Bugey,01,82,1,0,0,0,0,0,0
01432,Verjon,01,82,1,0,0,0,0,0,0
01434,Versailleux,01,82,2,0,0,0,0,0,0
01435,Versonnex,01,82,1,0,0,0,0,0,0
01436,Vesancy,01,82,3,0,0,0,0,0,0
01439,Vésines,01,82,2,0,0,0,0,0,0
01441,Vieu-d'Izenave,01,82,1,0,0,0,0,0,0
01442,Vieu,01,82,1,0,0,0,0,0,0
01443,Villars-les-Dombes,01,82,2,0,0,0,0,0,0
01444,Villebois,01,82,1,0,0,0,0,0,0
01445,Villemotier,01,82,3,0,0,0,0,0,0
01446,Villeneuve,01,82,1,0,0,1,0,0,0
01447,Villereversure,01,82,0,0,0,1,0,0,0
01448,Villes,01,82,1,0,0,0,0,0,0
01449,Villette-sur-Ain,01,82,1,0,0,0,0,0,0
01450,Villieu-Loyes-Mollon,01,82,3,0,0,1,0,0,0
01451,Viriat,01,82,1,0,0,1,0,0,0
01452,Virieu-le-Grand,01,82,2,0,0,0,0,0,0
01453,Virieu-le-Petit,01,82,1,0,0,0,0,0,0
01454,Virignin,01,82,1,0,0,0,0,0,0
01457,Vonnas,01,82,4,0,0,1,0,0,0
02001,Abbécourt,02,22,5,0,0,0,0,0,0
02002,Achery,02,22,5,0,0,0,0,0,0
02003,Acy,02,22,6,0,0,0,0,0,0
02004,Agnicourt-et-Séchelles,02,22,3,0,0,0,0,0,0
02005,Aguilcourt,02,22,4,0,0,0,0,0,0
02006,Aisonville-et-Bernoville,02,22,3,0,0,0,0,0,0
02007,Aizelles,02,22,6,0,0,0,0,0,0
02008,Aizy-Jouy,02,22,1,0,0,0,0,0,0
02009,Alaincourt,02,22,4,0,0,0,0,0,0
02010,Allemant,02,22,2,0,0,0,0,0,0
02011,Ambleny,02,22,5,0,0,0,0,0,0
02012,Ambrief,02,22,3,0,0,0,0,0,0
02013,Amifontaine,02,22,1,0,0,0,0,0,0
02014,Amigny-Rouy,02,22,3,0,0,0,0,0,0
02015,Ancienville,02,22,2,0,0,0,0,0,0
02016,Andelain,02,22,2,0,0,0,0,0,0
02017,Anguilcourt-le-Sart,02,22,6,0,0,0,0,0,0
02018,Anizy-le-Château,02,22,2,0,0,0,0,0,0
02019,Annois,02,22,1,0,0,0,0,0,0
02020,Any-Martin-Rieux,02,22,5,0,0,0,0,0,0
02021,Archon,02,22,1,0,0,0,0,0,0
02022,Arcy-Sainte-Restitue,02,22,2,0,0,0,0,0,0
